k,bic,aic,silhouette,calinski_harabasz,davies_bouldin,converged,runtime_s
2,-5112648.310254526,-5156504.762683549,0.18842435495239052,845.7161898404579,3.389786543861463,True,0.8885831832885742
3,-6726016.055107391,-6791804.685494702,0.044065331228845935,825.8939664465404,3.8487875419383513,True,1.2418200969696045
4,-7162172.818102602,-7249893.6264482,0.030878767947014683,782.9090098585048,3.9839593937945263,True,2.93335223197937
5,-7616131.745206609,-7725784.731510496,0.006791388176600728,502.3646672119209,4.416499095965531,True,3.1738109588623047
6,-7755344.930877041,-7886930.095139215,-0.016089854127604275,372.2460648990868,5.418165609588216,True,2.992839813232422
7,-7902938.208657663,-8056455.550878125,-0.020339269024256985,346.3381028771417,5.082379595443834,True,3.7028307914733887
8,-8017178.972635134,-8192628.492813883,0.01645893806522646,495.56762361570304,4.346757594433699,True,5.287294149398804
