,lead_time,lead_time,total_nights,total_nights,party_size,party_size,previous_cancellations,previous_cancellations,previous_bookings_not_canceled,previous_bookings_not_canceled,total_of_special_requests,total_of_special_requests,required_car_parking_spaces,required_car_parking_spaces
,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median
cluster_umap,,,,,,,,,,,,,,
0,88.78,64.0,3.21,3.0,2.03,2.0,0.01,0.0,0.0,0.0,0.77,1.0,0.02,0.0
1,109.21,79.0,4.7,4.0,2.18,2.0,0.04,0.0,0.0,0.0,0.72,1.0,0.11,0.0
2,51.99,16.0,2.87,2.0,1.88,2.0,0.01,0.0,0.01,0.0,0.42,0.0,0.13,0.0
3,146.79,112.0,2.66,3.0,1.71,2.0,0.27,0.0,0.0,0.0,0.19,0.0,0.0,0.0
4,251.91,277.0,2.43,2.0,1.9,2.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,125.36,94.0,3.05,2.0,1.66,2.0,0.36,0.0,1.57,0.0,0.3,0.0,0.08,0.0
