seed,silhouette,calinski_harabasz,davies_bouldin
42,0.3929969072341919,25160.156970923435,1.4746621651943432
7,0.39822104573249817,25141.973290978844,1.4639856598146352
13,0.4032939374446869,25442.752490240506,1.3435459311571336
99,0.40476423501968384,25161.086833226946,1.4721041695080317
2025,0.4107370674610138,25431.40420354253,1.4161566266535732
2024,0.31295353174209595,22945.79357168089,1.217823057766813
2004,0.41073837876319885,25429.092584707152,1.4193610480308065
2005,0.3890058696269989,25489.98219467543,1.3910350146401604
2020,0.39697781205177307,25484.117590588336,1.3710450439670268
100,0.38364914059638977,24063.72507835421,1.4432146788317022
21,0.39519771933555603,25149.217706996777,1.4932795922000943
